  SYNC    include/config/auto.conf.cmd
  AR      drivers/video/fbdev/omap2/omapfb/built-in.a
  AR      drivers/video/fbdev/omap2/built-in.a
  CC      drivers/video/fbdev/amba-clcd.o
  CC      drivers/acpi/acpica/exsystem.o
  CC      drivers/acpi/acpica/extrace.o
  CC      net/llc/llc_s_ac.o
  CC      drivers/acpi/acpica/exutils.o
  CC      drivers/acpi/acpica/hwacpi.o
  CC      sound/core/pcm.o
  CC      drivers/acpi/apei/apei-base.o
  CC      drivers/acpi/acpica/hwesleep.o
  CC      drivers/acpi/acpica/hwgpe.o
  CC      drivers/video/fbdev/xen-fbfront.o
  CC      net/llc/llc_s_ev.o
  CC      drivers/acpi/acpica/hwregs.o
  CC      drivers/acpi/apei/hest.o
  CC      drivers/acpi/acpica/hwsleep.o
  CC      drivers/acpi/acpica/hwvalid.o
  CC      drivers/video/fbdev/efifb.o
  CC      net/llc/llc_s_st.o
  CC      sound/core/pcm_native.o
  CC      drivers/acpi/acpica/hwxface.o
  CC      drivers/acpi/acpica/hwxfsleep.o
  CC      drivers/acpi/apei/erst.o
  CC      net/llc/af_llc.o
  CC      drivers/acpi/acpica/hwpci.o
  CC      drivers/video/fbdev/mx3fb.o
  CC      net/llc/llc_station.o
  CC      drivers/acpi/acpica/nsaccess.o
  CC      drivers/pci/pci-driver.o
  CC      drivers/acpi/acpica/nsalloc.o
  CC      net/llc/llc_proc.o
  CC      drivers/acpi/apei/bert.o
  CC      net/llc/sysctl_net_llc.o
  CC      drivers/acpi/acpica/nsarguments.o
  AR      drivers/video/fbdev/built-in.a
  AR      drivers/video/built-in.a
  CC      drivers/acpi/acpica/nsconvert.o
  CC      drivers/acpi/apei/ghes.o
  CC      drivers/acpi/acpica/nsdump.o
  CC      drivers/acpi/acpica/nseval.o
  CC      net/core/datagram.o
  CC      net/core/stream.o
  CC      drivers/acpi/acpica/nsinit.o
  AR      net/llc/built-in.a
  CC      net/ethernet/eth.o
  CC      drivers/acpi/acpica/nsload.o
  CC      drivers/acpi/acpica/nsnames.o
  CC      drivers/pci/search.o
  CC      drivers/acpi/acpica/nsobject.o
  CC      sound/core/pcm_lib.o
  CC      drivers/acpi/acpica/nsparse.o
  CC      drivers/acpi/acpica/nspredef.o
  CC      drivers/acpi/acpica/nsprepkg.o
  CC      sound/core/pcm_misc.o
  CC      drivers/acpi/apei/einj.o
  CC      drivers/pci/pci-sysfs.o
  CC      net/core/scm.o
  CC      drivers/acpi/acpica/nsrepair.o
  CC      drivers/acpi/acpica/nsrepair2.o
  AR      drivers/acpi/apei/built-in.a
  AR      drivers/acpi/pmic/built-in.a
  CC      drivers/acpi/dptf/int340x_thermal.o
  CC      drivers/acpi/acpica/nssearch.o
  AR      net/ethernet/built-in.a
  CC      net/802/p8022.o
  CC      net/802/psnap.o
  CC      drivers/acpi/acpica/nsutils.o
  CC      drivers/acpi/acpica/nswalk.o
  CC      drivers/pci/rom.o
  AR      drivers/acpi/dptf/built-in.a
  CC      drivers/pci/setup-res.o
  CC      sound/core/pcm_memory.o
  CC      drivers/acpi/acpica/nsxfeval.o
  CC      drivers/acpi/acpica/nsxfname.o
  CC      sound/core/memalloc.o
  CC      net/core/gen_stats.o
  CC      drivers/acpi/acpica/nsxfobj.o
  CC      net/802/stp.o
  CC      drivers/pci/irq.o
  CC      drivers/acpi/acpica/psargs.o
  CC      drivers/pci/vpd.o
  CC      sound/core/pcm_timer.o
  CC      drivers/acpi/acpica/psloop.o
  CC      drivers/acpi/acpica/psobject.o
  CC      net/core/gen_estimator.o
  CC      drivers/acpi/acpica/psopcode.o
  CC      drivers/pci/setup-bus.o
  CC      sound/core/pcm_drm_eld.o
  CC      drivers/acpi/acpica/psopinfo.o
  CC      net/802/garp.o
  CC      drivers/acpi/acpica/psparse.o
  CC      drivers/pci/vc.o
  CC      drivers/acpi/acpica/psscope.o
  CC      net/core/net_namespace.o
  CC      drivers/acpi/acpica/pstree.o
  CC      drivers/pci/mmap.o
  CC      sound/core/pcm_iec958.o
  CC      drivers/pci/setup-irq.o
  CC      drivers/acpi/acpica/psutils.o
  CC      drivers/pci/msi.o
  CC      drivers/acpi/acpica/pswalk.o
  CC      net/802/mrp.o
  CC      net/core/secure_seq.o
  CC      drivers/pci/proc.o
  CC      drivers/acpi/acpica/psxface.o
  CC      sound/core/pcm_dmaengine.o
  CC      drivers/pci/slot.o
  CC      drivers/acpi/acpica/rsaddr.o
  CC      drivers/pci/pci-acpi.o
  CC      drivers/acpi/acpica/rscalc.o
  CC      net/core/flow_dissector.o
  CC      drivers/acpi/acpica/rscreate.o
  CC      drivers/pci/of.o
  CC      sound/core/rawmidi.o
  AR      net/802/built-in.a
  CC      sound/core/compress_offload.o
  CC      net/sched/sch_generic.o
  CC      net/sched/sch_mq.o
  CC      drivers/acpi/acpica/rsdumpinfo.o
  CC      drivers/pci/quirks.o
  CC      drivers/acpi/acpica/rsinfo.o
  CC      drivers/pci/ats.o
  CC      drivers/acpi/acpica/rsio.o
  CC      drivers/acpi/acpica/rsirq.o
  CC      drivers/pci/iov.o
  CC      net/sched/sch_frag.o
  CC      drivers/acpi/acpica/rslist.o
  CC      drivers/acpi/acpica/rsmemory.o
  AR      sound/core/built-in.a
  AR      sound/i2c/other/built-in.a
  AR      sound/i2c/built-in.a
  AR      sound/drivers/opl3/built-in.a
  AR      sound/drivers/opl4/built-in.a
  AR      sound/drivers/mpu401/built-in.a
  AR      sound/drivers/vx/built-in.a
  AR      sound/drivers/pcsp/built-in.a
  AR      sound/drivers/built-in.a
  CC      net/core/sysctl_net_core.o
  AR      sound/isa/ad1816a/built-in.a
  AR      sound/isa/ad1848/built-in.a
  AR      sound/isa/cs423x/built-in.a
  CC      drivers/acpi/acpica/rsmisc.o
  AR      sound/isa/es1688/built-in.a
  AR      sound/isa/galaxy/built-in.a
  AR      sound/isa/gus/built-in.a
  AR      sound/isa/msnd/built-in.a
  AR      sound/isa/opti9xx/built-in.a
  AR      sound/isa/sb/built-in.a
  CC      net/core/dev.o
  AR      sound/isa/wavefront/built-in.a
  AR      sound/isa/wss/built-in.a
  AR      sound/isa/built-in.a
  AR      sound/pci/ac97/built-in.a
  AR      sound/pci/ali5451/built-in.a
  AR      sound/pci/asihpi/built-in.a
  AR      sound/pci/au88x0/built-in.a
  AR      sound/pci/aw2/built-in.a
  AR      sound/pci/ctxfi/built-in.a
  CC      net/sched/sch_api.o
  AR      sound/pci/ca0106/built-in.a
  AR      sound/pci/cs46xx/built-in.a
  AR      sound/pci/cs5535audio/built-in.a
  AR      sound/pci/lola/built-in.a
  AR      sound/pci/lx6464es/built-in.a
  CC      drivers/acpi/acpica/rsserial.o
  AR      sound/pci/echoaudio/built-in.a
  AR      sound/pci/emu10k1/built-in.a
  AR      sound/pci/hda/built-in.a
  AR      sound/pci/ice1712/built-in.a
  AR      sound/pci/korg1212/built-in.a
  AR      sound/pci/mixart/built-in.a
  AR      sound/pci/nm256/built-in.a
  AR      sound/pci/oxygen/built-in.a
  AR      sound/pci/pcxhr/built-in.a
  AR      sound/pci/riptide/built-in.a
  CC      net/sched/sch_blackhole.o
  AR      sound/pci/rme9652/built-in.a
  AR      sound/pci/trident/built-in.a
  AR      sound/pci/ymfpci/built-in.a
  AR      sound/pci/vx222/built-in.a
  AR      sound/pci/built-in.a
  AR      sound/ppc/built-in.a
  AR      sound/arm/built-in.a
  AR      sound/sh/built-in.a
  AR      sound/synth/built-in.a
  AR      sound/usb/misc/built-in.a
  CC      drivers/acpi/acpica/rsutils.o
  AR      sound/usb/usx2y/built-in.a
  AR      sound/usb/caiaq/built-in.a
  AR      sound/usb/6fire/built-in.a
  AR      sound/usb/hiface/built-in.a
  AR      sound/usb/bcd2000/built-in.a
  AR      sound/usb/built-in.a
  AR      sound/firewire/built-in.a
  AR      sound/sparc/built-in.a
  AR      sound/spi/built-in.a
  AR      sound/parisc/built-in.a
  AR      sound/pcmcia/vx/built-in.a
  AR      sound/pcmcia/pdaudiocf/built-in.a
  AR      sound/pcmcia/built-in.a
  AR      sound/mips/built-in.a
  CC      drivers/pci/pci-label.o
  CC      sound/soc/codecs/ak4458.o
  CC      drivers/acpi/acpica/rsxface.o
  CC      drivers/pci/syscall.o
  CC      net/sched/cls_api.o
  CC      drivers/pci/ecam.o
  CC      net/core/dev_addr_lists.o
  CC      drivers/acpi/acpica/tbdata.o
  CC      drivers/acpi/acpica/tbfadt.o
  CC      sound/soc/codecs/ak5558.o
  CC      drivers/acpi/acpica/tbfind.o
  AR      drivers/pci/built-in.a
  CC      net/core/dst.o
  CC      drivers/acpi/acpica/tbinstal.o
  CC      drivers/pnp/pnpacpi/core.o
  CC      sound/soc/codecs/hdmi-codec.o
  CC      drivers/acpi/acpica/tbprint.o
  CC      net/sched/act_api.o
  CC      sound/soc/codecs/pcm512x.o
  CC      drivers/acpi/acpica/tbutils.o
  CC      drivers/acpi/acpica/tbxface.o
  CC      sound/soc/codecs/pcm512x-i2c.o
  CC      drivers/pnp/pnpacpi/rsparser.o
  CC      drivers/acpi/acpica/tbxfload.o
  CC      sound/soc/codecs/sgtl5000.o
  CC      net/core/netevent.o
  CC      net/sched/sch_fifo.o
  AR      drivers/pnp/pnpacpi/built-in.a
  CC      drivers/pnp/core.o
  CC      drivers/acpi/acpica/tbxfroot.o
  CC      drivers/acpi/acpica/utaddress.o
  CC      drivers/acpi/acpica/utalloc.o
  CC      drivers/acpi/acpica/utascii.o
  CC      drivers/acpi/acpica/utbuffer.o
  CC      sound/soc/codecs/wm8994.o
  CC      drivers/pnp/card.o
  CC      drivers/acpi/acpica/utcopy.o
  CC      drivers/acpi/acpica/utexcep.o
  CC      drivers/acpi/acpica/utdebug.o
  CC      net/core/neighbour.o
  CC      drivers/acpi/acpica/utdecode.o
  AR      net/sched/built-in.a
  CC      net/netlink/af_netlink.o
  CC      virt/lib/irqbypass.o
  CC      drivers/acpi/acpica/utdelete.o
  CC      sound/soc/generic/simple-card-utils.o
  CC      drivers/pnp/driver.o
  CC      drivers/acpi/acpica/uterror.o
  AR      virt/lib/built-in.a
  AR      virt/built-in.a
  CC      sound/soc/generic/simple-card.o
  CC      drivers/acpi/acpica/uteval.o
  CC      drivers/acpi/acpica/utglobal.o
  CC      drivers/pnp/resource.o
  CC      sound/soc/codecs/wm8958-dsp2.o
  CC      sound/soc/generic/audio-graph-card.o
  CC      net/core/rtnetlink.o
  CC      sound/soc/codecs/wm_hubs.o
  CC      drivers/acpi/acpica/uthex.o
  CC      drivers/acpi/acpica/utids.o
  CC      sound/soc/codecs/tpa6130a2.o
  CC      drivers/acpi/acpica/utinit.o
  CC      drivers/pnp/manager.o
  AR      sound/soc/generic/built-in.a
  CC      drivers/pnp/support.o
  CC      drivers/acpi/acpica/utlock.o
  CC      net/netlink/genetlink.o
  CC      net/netlink/policy.o
  CC      drivers/acpi/acpica/utmath.o
  CC      net/core/utils.o
  AR      sound/soc/codecs/built-in.a
  AR      sound/soc/adi/built-in.a
  AR      sound/soc/amd/built-in.a
  AR      sound/soc/atmel/built-in.a
  AR      sound/soc/au1x/built-in.a
  AR      sound/soc/bcm/built-in.a
  AR      sound/soc/cirrus/built-in.a
  AR      sound/soc/dwc/built-in.a
  CC      drivers/acpi/acpica/utmisc.o
  CC      drivers/pnp/interface.o
  CC      sound/soc/fsl/fsl_audmix.o
  CC      drivers/acpi/acpica/utmutex.o
  CC      drivers/acpi/acpica/utnonansi.o
  CC      sound/soc/fsl/fsl-asoc-card.o
  CC      drivers/acpi/acpica/utobject.o
  CC      drivers/pnp/quirks.o
  CC      sound/soc/fsl/fsl_asrc.o
  CC      drivers/pnp/system.o
  CC      drivers/acpi/acpica/utosi.o
  CC      drivers/acpi/acpica/utownerid.o
  AR      drivers/pnp/built-in.a
  CC      drivers/amba/bus.o
  CC      drivers/acpi/acpica/utpredef.o
  CC      drivers/acpi/acpica/utresdecode.o
  CC      net/core/link_watch.o
  CC      sound/soc/fsl/fsl_asrc_dma.o
  CC      sound/soc/fsl/fsl_sai.o
  CC      drivers/acpi/acpica/utresrc.o
  AR      net/netlink/built-in.a
  CC      net/bpf/test_run.o
  CC      net/core/filter.o
  CC      drivers/acpi/acpica/utstate.o
  CC      sound/soc/fsl/fsl_sai_sysfs.o
  CC      drivers/acpi/acpica/utstring.o
  AR      drivers/amba/built-in.a
  CC      drivers/acpi/acpica/utstrsuppt.o
  AR      drivers/clk/actions/built-in.a
  AR      drivers/clk/analogbits/built-in.a
  AR      drivers/clk/bcm/built-in.a
  AR      drivers/dma/idxd/built-in.a
  AR      drivers/clk/imgtec/built-in.a
  CC      sound/soc/fsl/fsl_ssi.o
  CC      drivers/dma/ipu/ipu_irq.o
  CC      drivers/clk/imx/clk.o
  CC      drivers/dma/ipu/ipu_idmac.o
  CC      drivers/acpi/acpica/utstrtoul64.o
  CC      drivers/clk/imx/clk-busy.o
  AR      net/bpf/built-in.a
  CC      net/ethtool/ioctl.o
  CC      drivers/clk/imx/clk-composite-7ulp.o
  CC      drivers/acpi/acpica/utxface.o
  CC      drivers/clk/imx/clk-composite-8m.o
  CC      drivers/clk/imx/clk-composite-93.o
  CC      sound/soc/fsl/fsl_ssi_dbg.o
  AR      drivers/dma/ipu/built-in.a
  CC      drivers/dma/pxp/pxp_dma_v3.o
  CC      drivers/acpi/acpica/utxfinit.o
  CC      drivers/clk/imx/clk-fracn-gppll.o
  CC      sound/soc/fsl/fsl_spdif.o
  CC      drivers/clk/imx/clk-cpu.o
  CC      drivers/acpi/acpica/utxferror.o
  CC      drivers/clk/imx/clk-divider-gate.o
  CC      drivers/clk/imx/clk-fixup-div.o
  CC      drivers/dma/pxp/pxp_device.o
  AR      sound/soc/hisilicon/built-in.a
  AR      sound/soc/jz4740/built-in.a
  AR      sound/soc/img/built-in.a
  AR      sound/soc/intel/common/built-in.a
  AR      sound/soc/intel/boards/built-in.a
  AR      sound/soc/intel/built-in.a
  CC      drivers/acpi/acpica/utxfmutex.o
  CC      drivers/clk/imx/clk-fixup-mux.o
  CC      drivers/clk/imx/clk-frac-pll.o
  CC      sound/soc/fsl/fsl_esai.o
  CC      drivers/clk/imx/clk-gate2.o
  AR      drivers/acpi/acpica/built-in.a
  CC      drivers/acpi/arm64/iort.o
  CC      sound/soc/fsl/fsl_esai_mix.o
  CC      drivers/clk/imx/clk-gate-exclusive.o
  CC      drivers/clk/imx/clk-pfd.o
  CC      sound/soc/fsl/fsl_micfil.o
  CC      drivers/clk/imx/clk-pfdv2.o
  CC      net/ethtool/common.o
  CC      drivers/acpi/arm64/gtdt.o
  CC      sound/soc/fsl/fsl_utils.o
  CC      drivers/acpi/arm64/dma.o
  CC      drivers/clk/imx/clk-pllv1.o
  CC      sound/soc/fsl/fsl_mqs.o
  AR      drivers/acpi/arm64/built-in.a
  CC      drivers/acpi/tables.o
  CC      sound/soc/fsl/fsl_easrc.o
  CC      drivers/clk/imx/clk-pllv2.o
  AR      drivers/dma/pxp/built-in.a
  AR      drivers/dma/mediatek/built-in.a
  CC      drivers/dma/qcom/hidma_mgmt.o
  CC      drivers/clk/imx/clk-pllv3.o
  CC      sound/soc/fsl/fsl_aud2htx.o
  CC      net/ethtool/netlink.o
  CC      drivers/clk/imx/clk-pllv4.o
  CC      drivers/acpi/osi.o
  CC      drivers/clk/imx/clk-pll14xx.o
  AR      sound/soc/mediatek/built-in.a
  AR      sound/soc/meson/built-in.a
  AR      sound/soc/mxs/built-in.a
  CC      drivers/clk/imx/clk-sscg-pll.o
  CC      net/core/sock_diag.o
  AR      sound/soc/kirkwood/built-in.a
  CC      net/core/dev_ioctl.o
  CC      drivers/dma/qcom/hidma_mgmt_sys.o
  CC      sound/soc/fsl/fsl_esai_client.o
  CC      sound/soc/fsl/imx-audmux.o
  CC      drivers/acpi/osl.o
  CC      drivers/clk/imx/clk-imx8mm.o
  CC      drivers/dma/qcom/hidma_ll.o
  CC      sound/soc/fsl/imx-pcm-dma.o
  CC      net/ethtool/bitset.o
  CC      sound/soc/fsl/imx-audio-rpmsg.o
  CC      net/core/tso.o
  CC      drivers/dma/qcom/hidma.o
  CC      drivers/clk/imx/clk-imx8mn.o
  CC      net/core/sock_reuseport.o
  CC      sound/soc/fsl/imx-pcm-rpmsg.o
  CC      sound/soc/fsl/imx-sgtl5000.o
  CC      drivers/acpi/utils.o
  CC      net/ethtool/strset.o
  CC      drivers/dma/qcom/hidma_dbg.o
  CC      net/core/fib_notifier.o
  CC      sound/soc/fsl/imx-spdif.o
  CC      drivers/clk/imx/clk-imx8mp.o
  CC      net/ethtool/linkinfo.o
  AR      drivers/dma/qcom/built-in.a
  AR      drivers/dma/ti/built-in.a
  AR      drivers/dma/xilinx/built-in.a
  CC      drivers/dma/dmaengine.o
  CC      net/core/xdp.o
  CC      drivers/acpi/reboot.o
  CC      sound/soc/fsl/imx-audmix.o
  CC      net/core/flow_offload.o
  CC      drivers/acpi/nvs.o
  CC      net/ethtool/linkmodes.o
  CC      net/core/net-sysfs.o
  CC      sound/soc/fsl/imx-hdmi.o
  CC      drivers/clk/imx/clk-blk-ctrl.o
  CC      drivers/acpi/wakeup.o
  CC      sound/soc/fsl/imx-rpmsg.o
  CC      drivers/clk/imx/clk-imx8mq.o
  CC      drivers/dma/virt-dma.o
  CC      net/ethtool/linkstate.o
  CC      net/core/page_pool.o
  CC      drivers/acpi/device_sysfs.o
  CC      sound/soc/fsl/imx-card.o
  CC      drivers/dma/acpi-dma.o
  CC      net/ethtool/debug.o
  CC      drivers/dma/of-dma.o
  CC      drivers/clk/imx/clk-imx93.o
  CC      net/core/net-procfs.o
  CC      sound/soc/fsl/imx-pdm.o
  CC      drivers/acpi/device_pm.o
  AR      sound/soc/pxa/built-in.a
  CC      drivers/clk/imx/clk-gate-93.o
  CC      net/netfilter/core.o
  CC      drivers/acpi/bus.o
  CC      net/ethtool/wol.o
  CC      drivers/dma/dmatest.o
  CC      sound/soc/fsl/imx-pcm512x.o
  CC      drivers/clk/imx/clk-scu.o
  CC      net/core/selftests.o
  CC      net/ethtool/features.o
  AR      sound/soc/fsl/built-in.a
  AR      sound/soc/qcom/built-in.a
  AR      sound/soc/rockchip/built-in.a
  AR      sound/soc/samsung/built-in.a
  CC      drivers/clk/imx/clk-imx8qxp.o
  AR      sound/soc/sh/built-in.a
  AR      sound/soc/sof/imx/built-in.a
  AR      sound/soc/sof/built-in.a
  AR      sound/soc/spear/built-in.a
  AR      sound/soc/sprd/built-in.a
  CC      drivers/dma/fsl-edma.o
  AR      sound/soc/sti/built-in.a
  AR      sound/soc/stm/built-in.a
  AR      sound/soc/sunxi/built-in.a
  AR      sound/soc/tegra/built-in.a
  AR      sound/soc/ti/built-in.a
  AR      sound/soc/uniphier/built-in.a
  AR      sound/soc/ux500/built-in.a
  AR      sound/soc/xilinx/built-in.a
  CC      drivers/acpi/glue.o
  AR      sound/soc/xtensa/built-in.a
  CC      sound/soc/soc-core.o
  CC      drivers/acpi/scan.o
  CC      net/netfilter/nf_log.o
  CC      drivers/clk/imx/clk-imx8qxp-rsrc.o
  CC      net/ethtool/privflags.o
  CC      drivers/dma/fsl-edma-common.o
  CC      drivers/clk/imx/clk-imx8qm-rsrc.o
  CC      drivers/clk/imx/clk-imx8dxl-rsrc.o
  CC      net/core/ptp_classifier.o
  CC      drivers/acpi/resource.o
  CC      net/ethtool/rings.o
  CC      drivers/clk/imx/clk-lpcg-scu.o
  CC      drivers/clk/imx/clk-imx8qxp-lpcg.o
  CC      drivers/dma/fsl-edma-v3.o
  CC      drivers/acpi/acpi_processor.o
  CC      net/netfilter/nf_queue.o
  CC      net/ethtool/channels.o
  CC      drivers/acpi/processor_core.o
  CC      net/core/dst_cache.o
  CC      drivers/clk/imx/clk-imx8qxp-acm.o
  CC      sound/soc/soc-dapm.o
  CC      drivers/clk/imx/clk-imx8qm-acm.o
  CC      drivers/dma/mv_xor_v2.o
  CC      net/ethtool/coalesce.o
  CC      drivers/acpi/ec.o
  CC      drivers/acpi/pci_root.o
  CC      drivers/clk/imx/clk-imx8dxl-acm.o
  CC      drivers/dma/mxs-dma.o
  CC      net/netfilter/nf_sockopt.o
  CC      net/core/gro_cells.o
  CC      drivers/clk/imx/clk-imx-acm-utils.o
  CC      net/ethtool/pause.o
  CC      drivers/clk/imx/clk-imx8ulp.o
  CC      drivers/dma/pl330.o
  CC      drivers/acpi/pci_link.o
  CC      net/ethtool/eee.o
  CC      drivers/acpi/pci_irq.o
  CC      net/core/failover.o
  AR      drivers/clk/imx/built-in.a
  AR      drivers/clk/ingenic/built-in.a
  AR      drivers/clk/mediatek/built-in.a
  AR      drivers/clk/mstar/built-in.a
  AR      drivers/clk/mvebu/built-in.a
  CC      sound/soc/soc-jack.o
  AR      drivers/clk/ralink/built-in.a
  AR      drivers/clk/renesas/built-in.a
  CC      net/netfilter/utils.o
  CC      drivers/clk/s32/s32v234/clk.o
  CC      net/core/skmsg.o
  CC      drivers/acpi/acpi_lpss.o
  CC      net/ethtool/tsinfo.o
  CC      drivers/clk/s32/s32v234/clk-plldig.o
  AR      drivers/dma/built-in.a
  AR      drivers/soc/aspeed/built-in.a
  AR      drivers/soc/bcm/bcm63xx/built-in.a
  AR      drivers/soc/bcm/built-in.a
  CC      drivers/soc/fsl/rcpm.o
  CC      drivers/clk/s32/s32v234/clk-dfs.o
  CC      drivers/acpi/acpi_apd.o
  CC      drivers/soc/fsl/qixis_ctrl.o
  CC      sound/soc/soc-utils.o
  CC      net/ethtool/cabletest.o
  AR      drivers/clk/s32/s32v234/built-in.a
  CC      drivers/clk/s32/clk-core.o
  CC      sound/soc/soc-dai.o
  CC      drivers/acpi/acpi_platform.o
  AR      net/netfilter/built-in.a
  CC      sound/soc/soc-component.o
  AR      drivers/clk/s32/built-in.a
  AR      drivers/clk/socfpga/built-in.a
  AR      drivers/clk/sprd/built-in.a
  AR      drivers/clk/ti/built-in.a
  CC      drivers/clk/versatile/clk-vexpress-osc.o
  CC      drivers/soc/fsl/guts.o
  CC      net/core/sock_map.o
  AR      drivers/clk/versatile/built-in.a
  AR      drivers/clk/xilinx/built-in.a
  CC      drivers/clk/clk-devres.o
  AR      drivers/soc/fsl/built-in.a
  CC      drivers/soc/imx/mu/mx8_mu.o
  CC      drivers/clk/clk-bulk.o
  CC      drivers/acpi/acpi_pnp.o
  CC      drivers/soc/imx/secvio/imx-secvio-sc.o
  CC      drivers/clk/clkdev.o
  CC      net/ethtool/tunnels.o
  CC      sound/soc/soc-pcm.o
  CC      drivers/clk/clk.o
  AR      drivers/soc/imx/mu/built-in.a
  CC      sound/soc/soc-devres.o
  CC      drivers/acpi/acpi_amba.o
  CC      drivers/soc/imx/secvio/imx-secvio-debugfs.o
  CC      drivers/clk/clk-divider.o
  CC      net/ethtool/fec.o
  CC      drivers/soc/imx/secvio/imx-secvio-audit.o
  CC      drivers/virtio/virtio.o
  CC      drivers/acpi/power.o
  AR      drivers/soc/imx/secvio/built-in.a
  CC      drivers/soc/imx/gpcv2.o
  CC      net/core/bpf_sk_storage.o
  CC      drivers/clk/clk-fixed-factor.o
  CC      net/ethtool/eeprom.o
  CC      drivers/acpi/event.o
  CC      drivers/virtio/virtio_ring.o
  CC      sound/soc/soc-ops.o
  CC      drivers/soc/imx/soc-imx8m.o
  CC      drivers/clk/clk-fixed-rate.o
  CC      drivers/clk/clk-gate.o
  CC      net/ethtool/stats.o
  CC      drivers/soc/imx/soc-imx9.o
  CC      drivers/acpi/evged.o
  CC      drivers/clk/clk-multiplier.o
  CC      net/core/of_net.o
  CC      drivers/clk/clk-mux.o
  CC      sound/soc/soc-link.o
  CC      drivers/soc/imx/busfreq-imx8mq.o
  CC      net/ethtool/phc_vclocks.o
  CC      drivers/acpi/sysfs.o
  CC      drivers/virtio/virtio_pci_modern_dev.o
  CC      drivers/acpi/property.o
  CC      drivers/clk/clk-composite.o
  AR      net/ethtool/built-in.a
  CC      drivers/clk/clk-fractional-divider.o
  CC      sound/soc/soc-card.o
  CC      drivers/acpi/debugfs.o
  AR      net/core/built-in.a
  AR      net/ipv4/netfilter/built-in.a
  CC      net/ipv4/route.o
  CC      drivers/virtio/virtio_mmio.o
  CC      drivers/soc/imx/imx8m_pm_domains.o
  CC      drivers/clk/clk-gpio.o
  CC      drivers/clk/clk-conf.o
  CC      drivers/clk/clk-cs2000-cp.o
  CC      sound/soc/soc-topology.o
  CC      drivers/acpi/acpi_lpat.o
  CC      drivers/acpi/irq.o
  CC      drivers/soc/imx/rpmsg_life_cycle.o
  CC      drivers/virtio/virtio_pci_modern.o
  CC      drivers/clk/clk-pwm.o
  CC      drivers/clk/clk-rk808.o
  CC      drivers/soc/imx/imx8ulp_lpm.o
  CC      drivers/virtio/virtio_pci_common.o
  CC      drivers/clk/clk-s2mps11.o
  CC      drivers/acpi/pci_mcfg.o
  CC      drivers/acpi/ac.o
  CC      drivers/soc/imx/imx93-pd.o
  CC      drivers/clk/clk-scmi.o
  CC      drivers/soc/imx/imx93-blk-ctrl.o
  CC      drivers/virtio/virtio_pci_legacy.o
  CC      drivers/acpi/button.o
  CC      drivers/acpi/fan.o
  CC      sound/soc/soc-generic-dmaengine-pcm.o
  CC      drivers/clk/clk-scpi.o
  CC      drivers/clk/clk-versaclock5.o
  AR      drivers/soc/imx/built-in.a
  AR      drivers/soc/ixp4xx/built-in.a
  AR      drivers/soc/mediatek/built-in.a
  AR      drivers/soc/amlogic/built-in.a
  AR      drivers/soc/qcom/built-in.a
  AR      drivers/soc/renesas/built-in.a
  AR      drivers/soc/sunxi/built-in.a
  AR      drivers/soc/ti/built-in.a
  CC      drivers/virtio/virtio_ivshmem.o
  AR      drivers/soc/xilinx/built-in.a
  AR      drivers/soc/built-in.a
  CC      drivers/xen/events/events_base.o
  CC      net/ipv4/inetpeer.o
  CC      drivers/clk/clk-xgene.o
  CC      drivers/acpi/processor_driver.o
  CC      drivers/acpi/processor_idle.o
  CC      drivers/acpi/processor_perflib.o
  CC      sound/soc/soc-compress.o
  CC      drivers/acpi/container.o
  AR      drivers/clk/built-in.a
  CC      drivers/virtio/virtio_balloon.o
  CC      drivers/regulator/core.o
  CC      drivers/regulator/dummy.o
  AR      drivers/reset/hisilicon/built-in.a
  CC      drivers/reset/core.o
  AR      sound/soc/built-in.a
  AR      sound/atmel/built-in.a
  CC      net/ipv4/protocol.o
  AR      sound/hda/built-in.a
  AR      sound/x86/built-in.a
  CC      drivers/xen/events/events_2l.o
  AR      sound/xen/built-in.a
  CC      drivers/acpi/thermal.o
  AR      sound/virtio/built-in.a
  CC      sound/sound_core.o
  AR      drivers/virtio/built-in.a
  CC      drivers/xen/events/events_fifo.o
  CC      drivers/tty/vt/vt_ioctl.o
  CC      sound/last.o
  CC      drivers/reset/reset-dispmix.o
  AR      drivers/xen/events/built-in.a
  CC      drivers/xen/xenbus/xenbus_client.o
  CC      drivers/reset/reset-imx7.o
  CC      drivers/acpi/acpi_memhotplug.o
  AR      sound/built-in.a
  AS      arch/arm64/lib/clear_page.o
  CC      drivers/reset/reset-imx8ulp-sim.o
  CC      drivers/xen/xenbus/xenbus_comms.o
  AS      arch/arm64/lib/clear_user.o
  CC      drivers/acpi/battery.o
  CC      net/ipv4/ip_input.o
  CC      drivers/reset/gpio-reset.o
  CC      drivers/tty/vt/vc_screen.o
  AS      arch/arm64/lib/copy_from_user.o
  CC      drivers/xen/xenbus/xenbus_xs.o
  CC      drivers/xen/xenbus/xenbus_probe.o
  AS      arch/arm64/lib/copy_page.o
  CC      drivers/reset/reset-scmi.o
  CC      drivers/regulator/fixed-helper.o
  AS      arch/arm64/lib/copy_to_user.o
  CC      drivers/tty/vt/selection.o
  AR      drivers/reset/built-in.a
  CC      arch/arm64/lib/csum.o
  CC      lib/math/div64.o
